Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
HUBG,Hub Group Inc.,NMS,EQUITY,Air Delivery & Freight Services,USD,Share,41.95,32.69,51.47,1.52B,311017
MFT.NZ,Mainfreight Limited,NZE,EQUITY,Air Delivery & Freight Services,NZD,Share,15.77,14.00,16.35,1.51B,70614
CHRW,CH Robinson Worldwide Inc.,NMS,EQUITY,Air Delivery & Freight Services,USD,Share,63.25,61.46,77.49,9.38B,1686250
QUB.AX,Qube Holdings Limited,ASX,EQUITY,Air Delivery & Freight Services,AUD,Share,2.54,2.06,3.05,2.58B,3263970
XUN.F,SHUN TAK HLDGS,FRA,EQUITY,Air Delivery & Freight Services,EUR,Share,0.493,0.351,0.568,,1400
RMG.L,Royal Mail plc,LSE,EQUITY,Air Delivery & Freight Services,GBp,Share,512.5810,231.9770,532.5000,5.17B,3854890
UTIW,UTi Worldwide Inc.,NMS,EQUITY,Air Delivery & Freight Services,USD,Share,9.76,8.74,14.75,973.08M,1057260
WGI.V,Wheels Group Inc.,VAN,EQUITY,Air Delivery & Freight Services,,Share,,,,,
CONCOR.NS,Container Corporation of India Ltd.,NSI,EQUITY,Air Delivery & Freight Services,,Share,,,,,
WMC.MU,ALUMINA SP ADR,MUN,EQUITY,Aluminum,EUR,Share,4.59,3.69,5.53,,
XUN.MU,SHUN TAK HLDGS,MUN,EQUITY,Air Delivery & Freight Services,EUR,Share,0.53,0.37,0.55,,2000
ACH,Aluminum Corporation Of China Limited,NYQ,EQUITY,Aluminum,USD,Share,13.08,8.66,17.44,5.12B,207249
ORT.TO,Orbite Aluminae Inc,TOR,EQUITY,Aluminum,CAD,Share,0.25,0.22,0.57,81.66M,767298
HINDALCO.BO,Hindalco Industries Ltd.,BSE,EQUITY,Aluminum,,Share,,,,,
NOR,Noranda Aluminum Holding Corp.,NYQ,EQUITY,Aluminum,USD,Share,1.14,0.50,5.64,41.53M,1682610
ACHN.MX,Aluminum Corporation Of China Limited,MEX,EQUITY,Aluminum,MXN,Share,228.28,125.00,251.00,99.15B,326
HINDALCO.NS,Hindalco Industries Ltd.,NSI,EQUITY,Aluminum,,Share,,,,,
WMC.SG,ALUMINA SP ADR,STU,EQUITY,Aluminum,EUR,Share,4.241,3.702,5.538,,394
RUSAL.PA,United Company RUSAL Plc,PAR,EQUITY,Aluminum,EUR,Share,9.70,6.75,14.00,6.92B,818
NATIONALU.NS,National Aluminium Co. Ltd.,NSI,EQUITY,Aluminum,,Share,,,,,
KALU,Kaiser Aluminum Corporation,NMS,EQUITY,Aluminum,USD,Share,83.20,68.26,86.16,1.41B,171246
AA,Alcoa Inc.,NYQ,EQUITY,Aluminum,USD,Share,11.78,10.39,17.75,13.17B,19926300
CENX,Century Aluminum Co.,NMS,EQUITY,Aluminum,USD,Share,11.09,9.35,31.75,855.05M,2391090
GPS.V,BSM Technologies Inc.,VAN,EQUITY,Apparel Stores,CAD,Share,1.05,0.81,2.42,47.56M,119923
NXT.L,Next Plc,LSE,EQUITY,Apparel Stores,GBp,Share,7437.0298,6130.0000,7625.0000,11.20B,322690
GCO,Genesco Inc.,NYQ,EQUITY,Apparel Stores,USD,Share,66.70,61.07,89.58,1.60B,144276
CBK,Christopher & Banks Corporation,NYQ,EQUITY,Apparel Stores,USD,Share,4.57,3.80,11.22,141.38M,369317
VCH.MU,CHARLES VOEGELE,MUN,EQUITY,Apparel Stores,EUR,Share,11.670,9.544,14.000,,4
URBN,Urban Outfitters Inc.,NMS,EQUITY,Apparel Stores,USD,Share,35.38,27.89,47.25,4.65B,2576640
RET-A.TO,Reitmans Canada Ltd.,TOR,EQUITY,Apparel Stores,CAD,Share,6.49,5.60,8.48,415.28M,45707
FDX,FedEx Corporation,NYQ,EQUITY,Air Delivery & Freight Services,USD,Share,175.35,145.08,185.19,48.46B,1492370
NXG.SG,NEXT,STU,EQUITY,Apparel Stores,EUR,Share,102.305,76.037,108.727,,104
SFH.AX,Specialty Fashion Group Limited,ASX,EQUITY,Apparel Stores,AUD,Share,0.62,0.47,1.01,113.42M,67952
DSW,DSW Inc.,NYQ,EQUITY,Apparel Stores,USD,Share,34.65,25.76,39.58,2.95B,1235880
IXD.SG,INDITEX,STU,EQUITY,Apparel Stores,,Share,,,,,
CHKE,Cherokee Inc.,NMS,EQUITY,Apparel Stores,USD,Share,25.99,14.77,29.72,247.82M,94244
ANN,ANN INC.,NYQ,EQUITY,Apparel Stores,USD,Share,47.80,31.69,48.95,2.10B,1294300
SMRT,Stein Mart Inc.,NMS,EQUITY,Apparel Stores,USD,Share,10.76,10.20,16.65,480.27M,170941
NWY,New York & Company Inc.,NYQ,EQUITY,Apparel Stores,USD,Share,2.57,2.06,3.63,173.20M,135471
CATO,The Cato Corporation,NYQ,EQUITY,Apparel Stores,USD,Share,38.55,29.92,44.89,1.10B,160332
ASNA,Ascena Retail Group Inc.,NMS,EQUITY,Apparel Stores,USD,Share,16.02,10.50,17.61,2.24B,3487410
ULC.DE,UNITEDLABELS Aktiengesellschaft,GER,EQUITY,Apparel Stores,EUR,Share,2.28,1.32,2.99,17.77M,24573
IXD.MU,INDITEX,MUN,EQUITY,Apparel Stores,,Share,,,,,
RSO.SG,ROSS STORES,STU,EQUITY,Apparel Stores,EUR,Share,44.309,22.868,50.626,,220
KMD.AX,Kathmandu Holdings Limited,ASX,EQUITY,Apparel Stores,AUD,Share,1.32,1.11,3.25,307.34M,818025
ROST,Ross Stores Inc.,NMS,EQUITY,Apparel Stores,USD,Share,40.45,15.46,52.49,21.57B,4256440
SSI,Stage Stores Inc.,NYQ,EQUITY,Apparel Stores,USD,Share,17.47,15.71,23.26,580.81M,541265
JYE.F,JOYCE BOUTIQUE,FRA,EQUITY,Apparel Stores,EUR,Share,0.052,0.034,0.058,,
