Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
PHRM.L,Phorm Corporation Limited,LSE,equity,Advertising Agencies,GBp,Share,4.28,,12.26,21.28M,526279
DCS.SG,JC DECAUX,STU,equity,Advertising Agencies,EUR,Share,37.125,,38.758,,5
OMC,Omnicom Group Inc.,NYQ,equity,Advertising Agencies,USD,Share,72.36,,80.98,17.75B,1391000
DEC.PA,JCDecaux SA,PAR,equity,Advertising Agencies,EUR,Share,37.62,,41.00,8.55B,209459
FUEL,Rocket Fuel Inc.,NMS,equity,Advertising Agencies,USD,Share,8.17,,27.04,309.64M,587989
SZMK,Sizmek Inc.,NMS,equity,Advertising Agencies,USD,Share,7.16,,9.93,221.02M,114832
SPN.V,Snipp Interactive Inc.,VAN,equity,Advertising Agencies,CAD,Share,0.62,,0.99,48.34M,320459
WPP.L,WPP plc,LSE,equity,Advertising Agencies,GBp,Share,1486.78,,1616.00,19.60B,3687480
KITM,Kitara Media Corp.,OBB,equity,Advertising Agencies,,Share,0,,,,
MAA.TO,MagIndustries Corp.,TOR,equity,Agricultural Chemicals,CAD,Share,0.11,,0.25,98.27M,37123
MOS,The Mosaic Company,NYQ,equity,Agricultural Chemicals,USD,Share,45.39,,53.83,16.70B,4102800
SMG,The Scotts Miracle-Gro Company,NYQ,equity,Agricultural Chemicals,USD,Share,60.30,,69.27,3.70B,279690
MON,Monsanto Company,NYQ,equity,Agricultural Chemicals,USD,Share,111.84,,126.00,50.43B,3244840
AVD,American Vanguard Corp.,NYQ,equity,Agricultural Chemicals,USD,Share,13.69,,15.25,378.83M,244832
RCF.NS,Rashtriya Chemicals And Fertilizers Limited,NSI,equity,Agricultural Chemicals,,Share,,,,,
SYT,Syngenta AG,NYQ,equity,Agricultural Chemicals,USD,Share,85.90,,98.15,37.70B,746349
AGU,Agrium Inc.,NYQ,equity,Agricultural Chemicals,USD,Share,104.27,,116.81,15.12B,610113
POC.MU,POTASH SASKATCHEWAN,MUN,equity,Agricultural Chemicals,EUR,Share,27.72,,32.69,,17
NOEC,New Oriental Energy & Chemical Corp,PNK,equity,Agricultural Chemicals,USD,Share,0.0040,,0.0125,56139.60,1140
MEGH.NS,Meghmani Organics Limited,NSI,equity,Agricultural Chemicals,,Share,,,,,
ST.TO,Stonegate Agricom Ltd.,TOR,equity,Agricultural Chemicals,CAD,Share,0.02,,0.19,6.80M,85109
DD,E. I. du Pont de Nemours and Company,NYQ,equity,Agricultural Chemicals,USD,Share,64.12,,76.59,53.80B,6223250
GRVO.PA,Graines Voltz,PAR,equity,Agricultural Chemicals,EUR,Share,16.32,,24.50,23.52M,908
NUF.AX,Nufarm Limited,ASX,equity,Agricultural Chemicals,AUD,Share,7.65,,8.06,2.04B,887904
IPL.AX,Incitec Pivot Limited,ASX,equity,Agricultural Chemicals,AUD,Share,3.90,,4.40,6.50B,6710660
AGU.TO,Agrium Inc.,TOR,equity,Agricultural Chemicals,CAD,Share,129.70,,146.51,19.26B,312009
ICP.TO,IC Potash Corp.,TOR,equity,Agricultural Chemicals,CAD,Share,0.24,,0.31,38.03M,66430
NFL.BO,National Fertilizers Ltd.,BSE,equity,Agricultural Chemicals,,Share,,,,,
KRN.TO,Karnalyte Resources Inc.,TOR,equity,Agricultural Chemicals,CAD,Share,0.75,,1.30,20.61M,31469
GOP.V,Gourmet Ocean Products Inc.,VAN,equity,Agricultural Chemicals,CAD,Share,0.138,,0.215,13.13M,13619
YONGY,Yongnam Holdings Limited,PNK,equity,Agricultural Chemicals,USD,Share,85.28,,85.28,135.04M,1
MGO.TO,Migao Corporation,TOR,equity,Agricultural Chemicals,CAD,Share,0.67,,1.70,37.27M,38594
MBC.TO,MBAC Fertilizer Corp,TOR,equity,Agricultural Chemicals,CAD,Share,0.09,,0.40,14.53M,2041030
EXPD,Expeditors International of Washington Inc.,NMS,equity,Air Delivery & Freight Services,USD,Share,46.82,,49.51,8.74B,1218140
AIRT,Air T Inc.,NCM,equity,Air Delivery & Freight Services,USD,Share,21.16,,28.00,61.86M,6349
FWRD,Forward Air Corp.,NMS,equity,Air Delivery & Freight Services,USD,Share,53.10,,57.65,1.64B,192911
GPW.V,Grand Power Logistics Group Inc.,VAN,equity,Air Delivery & Freight Services,CAD,Share,0.09,,0.10,6.71M,130528
